Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
scenario_1_b5af696f	e	Sveicināts uz tiltiņa!	game/scenarios/scenario_1.rpy	22	e "[what]"
scenario_1_be1fad0d	e	Šeit atrodas Pērles {u}ECDIS{/u} - elektroniskā karšu sistēma, kas palīdz mums noteikt kuģa atrašanās vietu un kursu.	game/scenarios/scenario_1.rpy	23	e "[what]"
scenario_1_0a8960f6	e	Tā strādā ciešā saistībā ar {u}GNSS{/u} - globālās navigācijas satelītu sistēmu. Tās datiem kuģi uzticas visā pasaulē.	game/scenarios/scenario_1.rpy	24	e "[what]"
scenario_1_bf9743ec	e	Arī mums plaši pazīstamais GPS - globālās pozicionēšanas sistēmas signāls ir viena no GNSS frekvencēm. Pastāv arī citas GNSS sistēmas: Galileo, GLONASS un BeiDou.	game/scenarios/scenario_1.rpy	25	e "[what]"
scenario_1_20cf09c1	e	Dažādos signālus var pārbaudīt ar daudzfrekvenču GNSS uztvērējiem, kas spēj vienlaikus uztvert vairākus signālus. Noderīgi, ja kāds no signāliem uzrāda aizdomīgus datus.	game/scenarios/scenario_1.rpy	26	e "[what]"
scenario_1_913bf4af	e	Tad arī pastāv {u}RADAR{/u} - radiolokācijas sistēma, kas izmanto radio viļņus un attēlo kuģa apkārtni.	game/scenarios/scenario_1.rpy	27	e "[what]"
scenario_1_b5785406	e	Mūsdienu kuģos šos un vēl citus apkopo vienotā saskarnē - ECDIS.	game/scenarios/scenario_1.rpy	31	e "[what]"
scenario_1_b509c100	e	Taču pastāv arī tradicionālas navigācijas metodes - piemēram, papīra kartes, inerciālās navigācijas sistēma un vizuālie orientieri. Tās ir svarīgas, ja elektronika kļūdās vai nepieciešams pārbaudīt tās datus.	game/scenarios/scenario_1.rpy	32	e "[what]"
scenario_1_1d168553	e	Labi - ievadam pietiks. Lai veicas!	game/scenarios/scenario_1.rpy	33	e "[what]"
scenario_1_f00f3a51		Gaiša, bet miglaina diena, un Pērle ir kursā uz Batumi ostu Gruzijā. Melnā jūra klusa, visiem par brīnumu ne melna.	game/scenarios/scenario_1.rpy	37	"[what]"
scenario_1_68c5af36		Tu pārbaudi ECDIS ekrānu - tas rāda, ka atrodies {u}10 jūras jūdzes{/u} no krasta. GPS GNSS signāls ir stabils.	game/scenarios/scenario_1.rpy	38	"[what]"
scenario_1_fcefe24d		...bet kaut kas nav kārtībā. RADAR ekrānā rāda, ka esam tikai {u}0.5 jūdzes{/u} no krasta... ļoti tuvu.	game/scenarios/scenario_1.rpy	39	"[what]"
scenario_1_80618d9d		GPS un RADAR rādītāji nesakrīt. Ir jāizlemj, ko darīt.	game/scenarios/scenario_1.rpy	40	"[what]"
scenario_gnss_fail_4ecbfdd5		Tu turpini pēc GPS datiem, kas rāda, ka atrodaties drošā attālumā no krasta.	game/scenarios/scenario_1.rpy	56	"[what]"
scenario_gnss_fail_2205c24c		Pēkšņi izdzirdams trauksmes signāls - RADAR rāda šķēršļus tieši priekšā! Pa logu parādās krasts.	game/scenarios/scenario_1.rpy	57	"[what]"
scenario_gnss_fail_a283ebb4		Kapteinis iztraucēts ierodas tiltiņā.	game/scenarios/scenario_1.rpy	61	"[what]"
scenario_gnss_fail_59ad6e97	e	Kas notiek? Kāpēc mēs tuvojamies krastam? Griežamies!	game/scenarios/scenario_1.rpy	62	e "[what]"
scenario_gnss_fail_2d2127cd	e	Tu redzēji, ka RADAR dati rāda šķēršļus! Knapi izdevās sveikā novirzīties.	game/scenarios/scenario_1.rpy	63	e "[what]"
scenario_gnss_fail_cc859971	e	Tu akli uzticējies tikai vienam avotam. Šajā gadījumā GPS dati tika {u}viltoti{/u}.	game/scenarios/scenario_1.rpy	64	e "[what]"
scenario_gnss_fail_4411abc9	e	Ja kāds no datiem uzrāda sliktus rādītājus, labāk to neignorēt un izvērtēt situāciju.	game/scenarios/scenario_1.rpy	65	e "[what]"
scenario_radar_assess_c5d71774		Tu piebremzē un pārslēdzies uz manuālu režīmu.	game/scenarios/scenario_1.rpy	72	"[what]"
scenario_radar_assess_e9d06823		Vizuāli neko nevar redzēt. RADAR karte rāda, ka esam bīstami tuvu krastam.	game/scenarios/scenario_1.rpy	73	"[what]"
scenario_radar_assess_edbc15cc		Tu izmanto mirkli, lai pieņemtu nākamos lēmumus. Jāizlemj tūlītēji.	game/scenarios/scenario_1.rpy	74	"[what]"
scenario_radar_warning_2e822979		Tu turpini balstīties tikai uz RADAR datiem. Kuģis sasniedz tuvāko ostu.	game/scenarios/scenario_1.rpy	90	"[what]"
scenario_radar_warning_7e538b4e	e	Lai arī šoreiz radio viļņi nepievīla, nepietiek tikai ar vienu avotu. Akla paļaušānās uz vienu informācijas avotu, bez tā salīdzināšanas ar citiem, var novērst pie bēdīgām sekām.	game/scenarios/scenario_1.rpy	94	e "[what]"
